Time(ms),Method,Roll,Pitch
2421.0,COMP,2.195,19.559
2432.0,ACCEL,2.445,19.059
2432.0,GYRO,0.309,24.774
2432.0,COMP,2.2,19.55
2442.0,ACCEL,1.99,19.056
2442.0,GYRO,0.311,24.774
2442.0,COMP,2.197,19.541
2452.0,ACCEL,1.952,18.925
2452.0,GYRO,0.313,24.777
2452.0,COMP,2.194,19.531
2462.0,ACCEL,2.222,19.167
2462.0,GYRO,0.313,24.776
2462.0,COMP,2.195,19.523
2473.0,ACCEL,2.281,19.166
2473.0,GYRO,0.315,24.776
2473.0,COMP,2.198,19.515
2482.0,ACCEL,2.219,19.048
2482.0,GYRO,0.316,24.775
2482.0,COMP,2.2,19.505
2492.0,ACCEL,2.339,19.24
2492.0,GYRO,0.315,24.775
2492.0,COMP,2.202,19.5
2502.0,ACCEL,2.097,19.238
2502.0,GYRO,0.312,24.774
2502.0,COMP,2.197,19.494
2512.0,ACCEL,2.123,19.215
2512.0,GYRO,0.309,24.773
2512.0,COMP,2.193,19.487
2522.0,ACCEL,2.016,19.07
2522.0,GYRO,0.311,24.772
2522.0,COMP,2.19,19.478
2532.0,ACCEL,2.329,19.227
2532.0,GYRO,0.315,24.771
2532.0,COMP,2.198,19.473
2542.0,ACCEL,2.056,19.17
2542.0,GYRO,0.319,24.773
2542.0,COMP,2.198,19.468
2552.0,ACCEL,1.843,19.081
2552.0,GYRO,0.323,24.778
2552.0,COMP,2.195,19.465
2562.0,ACCEL,2.119,19.114
2562.0,GYRO,0.325,24.78
2562.0,COMP,2.196,19.46
2572.0,ACCEL,2.206,19.35
2572.0,GYRO,0.325,24.781
2572.0,COMP,2.196,19.459
2582.0,ACCEL,2.349,19.179
2582.0,GYRO,0.325,24.782
2582.0,COMP,2.199,19.455
2592.0,ACCEL,2.157,19.229
2592.0,GYRO,0.327,24.784
2592.0,COMP,2.2,19.451
2603.0,ACCEL,2.131,19.217
2603.0,GYRO,0.327,24.783
